id,away_team_losses,away_team_wins,date,game_id,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score
400827892,1,0,2015-10-28,400827892,Boston Celtics,0,112,1,Philadelphia 76ers,95
400827911,0,2,2015-10-30,400827911,Boston Celtics,1,103,1,Toronto Raptors,113
400827927,1,2,2015-11-01,400827927,Boston Celtics,2,87,1,San Antonio Spurs,95
400827947,3,1,2015-11-04,400827947,Indiana Pacers,3,100,2,Boston Celtics,98
400827963,2,3,2015-11-06,400827963,Boston Celtics,3,118,2,Washington Wizards,98
400827997,3,3,2015-11-10,400827997,Milwaukee Bucks,4,83,4,Boston Celtics,99
400828003,4,5,2015-11-11,400828003,Boston Celtics,4,91,3,Indiana Pacers,102
400828016,3,8,2015-11-13,400828016,Boston Celtics,4,106,4,Atlanta Hawks,93
400828036,4,5,2015-11-15,400828036,Oklahoma City Thunder,4,85,6,Boston Celtics,100
400828041,4,6,2015-11-16,400828041,Houston Rockets,7,95,4,Boston Celtics,111
400828055,4,8,2015-11-18,400828055,Boston Celtics,5,102,6,Dallas Mavericks,106
400828066,11,2,2015-11-20,400828066,Boston Celtics,5,120,7,Brooklyn Nets,95
400828084,6,7,2015-11-22,400828084,Brooklyn Nets,11,111,3,Boston Celtics,101
400828097,7,7,2015-11-24,400828097,Atlanta Hawks,6,121,10,Boston Celtics,97
400828104,16,0,2015-11-25,400828104,Boston Celtics,7,84,8,Philadelphia 76ers,80
400828116,7,6,2015-11-27,400828116,Boston Celtics,7,111,9,Washington Wizards,78
400828136,8,9,2015-11-29,400828136,Orlando Magic,8,110,9,Boston Celtics,91
400828142,8,10,2015-11-30,400828142,Miami Heat,6,95,10,Boston Celtics,105
400828169,8,11,2015-12-03,400828169,Sacramento Kings,13,97,7,Boston Celtics,114
400828183,9,11,2015-12-05,400828183,San Antonio Spurs,4,108,17,Boston Celtics,105
400828199,9,12,2015-12-07,400828199,New Orleans Pelicans,16,93,5,Boston Celtics,111
400827893,0,2,2015-10-28,400827893,Brooklyn Nets,1,100,0,Chicago Bulls,115
400827915,2,0,2015-10-30,400827915,San Antonio Spurs,1,102,1,Brooklyn Nets,75
400827923,3,0,2015-10-31,400827923,Memphis Grizzlies,1,101,2,Brooklyn Nets,91
400827934,3,1,2015-11-02,400827934,Brooklyn Nets,4,96,0,Milwaukee Bucks,103
400827949,5,0,2015-11-04,400827949,Atlanta Hawks,1,101,5,Brooklyn Nets,87
400827964,4,1,2015-11-06,400827964,Brooklyn Nets,6,98,0,Los Angeles Lakers,104
400827976,7,0,2015-11-07,400827976,Milwaukee Bucks,3,94,4,Brooklyn Nets,86
400828006,7,1,2015-11-11,400828006,Houston Rockets,4,98,4,Brooklyn Nets,106
400828024,8,1,2015-11-13,400828024,Sacramento Kings,7,111,3,Brooklyn Nets,109
400828031,9,1,2015-11-14,400828031,Golden State Warriors,0,107,11,Brooklyn Nets,99
400828046,5,8,2015-11-17,400828046,Brooklyn Nets,9,90,2,Atlanta Hawks,88
400828052,10,2,2015-11-18,400828052,Charlotte Hornets,6,116,6,Brooklyn Nets,111
400828110,12,3,2015-11-25,400828110,Oklahoma City Thunder,6,110,10,Brooklyn Nets,99
400828127,13,3,2015-11-28,400828127,Cleveland Cavaliers,4,90,13,Brooklyn Nets,88
400828135,9,8,2015-11-29,400828135,Brooklyn Nets,13,87,4,Detroit Pistons,83
400828151,10,8,2015-12-01,400828151,Brooklyn Nets,13,94,5,Phoenix Suns,91
400828170,14,5,2015-12-04,400828170,New York Knicks,10,108,10,Brooklyn Nets,91
400828187,0,22,2015-12-06,400828187,Brooklyn Nets,15,98,5,Golden State Warriors,114
400828202,12,10,2015-12-08,400828202,Brooklyn Nets,15,110,6,Houston Rockets,105
400827899,0,1,2015-10-28,400827899,Milwaukee Bucks,1,97,0,New York Knicks,122
400827906,1,1,2015-10-29,400827906,New York Knicks,1,101,1,Atlanta Hawks,112
400827921,1,2,2015-10-31,400827921,Washington Wizards,1,110,2,New York Knicks,117
400827935,1,3,2015-11-02,400827935,New York Knicks,2,84,2,San Antonio Spurs,94
400827950,3,2,2015-11-04,400827950,Cleveland Cavaliers,1,96,4,New York Knicks,86
400827966,3,3,2015-11-06,400827966,New York Knicks,4,92,2,Milwaukee Bucks,99
400827982,5,1,2015-11-08,400827982,New York Knicks,4,99,3,Los Angeles Lakers,95
400827996,4,4,2015-11-10,400827996,Toronto Raptors,3,109,5,New York Knicks,111
400828000,5,4,2015-11-11,400828000,Charlotte Hornets,4,95,4,New York Knicks,93
400828017,1,8,2015-11-13,400828017,New York Knicks,6,84,4,Cleveland Cavaliers,90
400828032,9,1,2015-11-15,400828032,New York Knicks,6,95,5,New Orleans Pelicans,87
400828049,6,5,2015-11-17,400828049,New York Knicks,6,102,6,Charlotte Hornets,94
400828070,6,7,2015-11-20,400828070,Oklahoma City Thunder,6,90,7,New York Knicks,93
400828081,6,8,2015-11-21,400828081,Houston Rockets,9,102,5,New York Knicks,107
400828091,7,8,2015-11-23,400828091,Miami Heat,4,95,9,New York Knicks,78
400828103,8,8,2015-11-25,400828103,Orlando Magic,8,100,7,New York Knicks,91
400828117,5,10,2015-11-27,400828117,New York Knicks,9,78,8,Miami Heat,97
400828139,10,7,2015-11-29,400828139,New York Knicks,10,111,8,Houston Rockets,116
400828158,19,1,2015-12-02,400828158,New York Knicks,10,99,9,Philadelphia 76ers,87
400828182,11,10,2015-12-05,400828182,Milwaukee Bucks,13,106,8,New York Knicks,91
400828194,9,13,2015-12-07,400828194,New York Knicks,12,97,10,Dallas Mavericks,104
400827910,1,1,2015-10-30,400827910,Philadelphia 76ers,2,71,0,Utah Jazz,99
400827933,1,3,2015-11-02,400827933,Philadelphia 76ers,3,100,0,Cleveland Cavaliers,107
400827952,4,0,2015-11-04,400827952,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87
400827965,5,0,2015-11-06,400827965,Cleveland Cavaliers,1,108,5,Philadelphia 76ers,102
400827974,4,3,2015-11-07,400827974,Philadelphia 76ers,6,97,0,Orlando Magic,105
400827987,3,5,2015-11-09,400827987,Philadelphia 76ers,7,88,0,Chicago Bulls,111
400828002,3,6,2015-11-11,400828002,Philadelphia 76ers,8,103,0,Toronto Raptors,119
400828021,9,0,2015-11-13,400828021,Oklahoma City Thunder,3,102,6,Philadelphia 76ers,85
400828029,10,0,2015-11-14,400828029,San Antonio Spurs,2,92,7,Philadelphia 76ers,83
400828039,4,7,2015-11-16,400828039,Philadelphia 76ers,11,86,0,Dallas Mavericks,92
400828054,5,7,2015-11-18,400828054,Philadelphia 76ers,12,85,0,Indiana Pacers,112
400828065,13,0,2015-11-20,400828065,Charlotte Hornets,6,113,7,Philadelphia 76ers,88
400828080,14,0,2015-11-21,400828080,Miami Heat,4,96,8,Philadelphia 76ers,91
400828093,15,0,2015-11-23,400828093,Minnesota Timberwolves,8,100,6,Philadelphia 76ers,95
400828119,17,0,2015-11-27,400828119,Houston Rockets,10,116,6,Philadelphia 76ers,114
400828138,18,0,2015-11-29,400828138,Memphis Grizzlies,8,92,10,Philadelphia 76ers,84
400828150,15,2,2015-12-01,400828150,Philadelphia 76ers,18,103,1,Los Angeles Lakers,91
400828176,13,8,2015-12-05,400828176,Philadelphia 76ers,20,105,1,Denver Nuggets,108
400828192,4,18,2015-12-07,400828192,Philadelphia 76ers,21,68,1,San Antonio Spurs,119
400827896,1,0,2015-10-28,400827896,Toronto Raptors,0,106,1,Indiana Pacers,99
400827929,3,0,2015-11-01,400827929,Toronto Raptors,0,106,3,Milwaukee Bucks,87
400827944,0,4,2015-11-03,400827944,Dallas Mavericks,2,91,2,Toronto Raptors,102
400827953,0,5,2015-11-04,400827953,Oklahoma City Thunder,2,98,3,Toronto Raptors,103
400827962,1,5,2015-11-06,400827962,Orlando Magic,4,92,2,Toronto Raptors,87
400827983,2,5,2015-11-08,400827983,Miami Heat,3,96,4,Toronto Raptors,76
400828018,8,1,2015-11-13,400828018,Toronto Raptors,3,100,7,New Orleans Pelicans,81
400828037,4,7,2015-11-15,400828037,Sacramento Kings,7,107,4,Toronto Raptors,101
400828051,5,7,2015-11-17,400828051,Golden State Warriors,0,115,12,Toronto Raptors,110
400828060,6,7,2015-11-18,400828060,Utah Jazz,5,93,6,Toronto Raptors,89
400828075,6,8,2015-11-20,400828075,Los Angeles Lakers,10,91,2,Toronto Raptors,102
400828083,6,9,2015-11-22,400828083,Los Angeles Clippers,7,80,6,Toronto Raptors,91
400828106,4,11,2015-11-25,400828106,Toronto Raptors,6,103,10,Cleveland Cavaliers,99
400828126,6,11,2015-11-28,400828126,Washington Wizards,8,82,6,Toronto Raptors,84
400828137,9,8,2015-11-29,400828137,Toronto Raptors,7,102,11,Phoenix Suns,107
400828159,7,12,2015-12-02,400828159,Atlanta Hawks,9,86,12,Toronto Raptors,96
400828165,13,7,2015-12-03,400828165,Toronto Raptors,8,105,12,Denver Nuggets,106
400828177,0,21,2015-12-05,400828177,Toronto Raptors,9,109,12,Golden State Warriors,112
400828195,18,3,2015-12-07,400828195,Toronto Raptors,9,102,13,Los Angeles Lakers,93
400827890,1,0,2015-10-27,400827890,Golden State Warriors,0,111,1,New Orleans Pelicans,95
400827917,0,2,2015-10-30,400827917,Houston Rockets,2,92,0,Golden State Warriors,112
400827922,0,3,2015-10-31,400827922,New Orleans Pelicans,3,120,0,Golden State Warriors,134
400827938,2,2,2015-11-02,400827938,Golden State Warriors,0,119,4,Memphis Grizzlies,69
400827956,1,4,2015-11-04,400827956,Golden State Warriors,0,112,5,Los Angeles Clippers,108
400827970,4,2,2015-11-06,400827970,Golden State Warriors,0,119,6,Denver Nuggets,104
400827979,0,7,2015-11-07,400827979,Sacramento Kings,6,94,1,Golden State Warriors,103
400827991,2,5,2015-11-09,400827991,Golden State Warriors,0,109,8,Detroit Pistons,95
400828007,0,9,2015-11-11,400828007,Memphis Grizzlies,6,84,3,Golden State Warriors,100
400828012,0,10,2015-11-12,400828012,Minnesota Timberwolves,4,116,4,Golden State Warriors,129
400828064,0,13,2015-11-19,400828064,Los Angeles Clippers,5,117,6,Golden State Warriors,124
400828074,4,8,2015-11-20,400828074,Golden State Warriors,0,106,14,Chicago Bulls,94
400828087,0,15,2015-11-22,400828087,Denver Nuggets,8,105,6,Golden State Warriors,118
400828101,12,2,2015-11-24,400828101,Golden State Warriors,0,111,16,Los Angeles Lakers,77
400828123,0,17,2015-11-27,400828123,Phoenix Suns,9,116,7,Golden State Warriors,135
400828132,12,6,2015-11-28,400828132,Golden State Warriors,0,120,18,Sacramento Kings,101
400828146,0,19,2015-11-30,400828146,Utah Jazz,8,103,8,Golden State Warriors,106
400828155,0,20,2015-12-02,400828155,Charlotte Hornets,8,99,10,Golden State Warriors,116
400828201,0,23,2015-12-08,400828201,Indiana Pacers,8,123,12,Golden State Warriors,131
400827903,0,1,2015-10-28,400827903,Sacramento Kings,1,104,0,Los Angeles Clippers,111
400827907,1,1,2015-10-29,400827907,Los Angeles Clippers,0,104,2,Dallas Mavericks,88
400827925,2,1,2015-10-31,400827925,Los Angeles Clippers,0,114,3,Sacramento Kings,109
400827939,2,2,2015-11-02,400827939,Los Angeles Clippers,0,102,4,Phoenix Suns,96
400827980,3,4,2015-11-07,400827980,Los Angeles Clippers,2,105,4,Houston Rockets,109
400827992,5,3,2015-11-09,400827992,Los Angeles Clippers,2,94,5,Memphis Grizzlies,92
400828005,3,5,2015-11-11,400828005,Dallas Mavericks,4,118,4,Los Angeles Clippers,108
400828013,4,5,2015-11-12,400828013,Phoenix Suns,4,118,4,Los Angeles Clippers,104
400828025,4,5,2015-11-14,400828025,Los Angeles Clippers,4,101,6,Detroit Pistons,96
400828073,6,6,2015-11-20,400828073,Portland Trail Blazers,9,102,5,Los Angeles Clippers,91
400828099,7,7,2015-11-24,400828099,Denver Nuggets,9,94,6,Los Angeles Clippers,111
400828113,7,7,2015-11-25,400828113,Los Angeles Clippers,8,91,7,Utah Jazz,102
400828125,12,4,2015-11-27,400828125,Los Angeles Clippers,8,111,8,New Orleans Pelicans,90
400828134,9,8,2015-11-29,400828134,Los Angeles Clippers,8,107,9,Minnesota Timberwolves,99
400828148,11,7,2015-11-30,400828148,Los Angeles Clippers,8,102,10,Portland Trail Blazers,87
400828163,5,12,2015-12-02,400828163,Los Angeles Clippers,9,91,10,Indiana Pacers,103
400828185,9,11,2015-12-05,400828185,Los Angeles Clippers,9,103,11,Orlando Magic,101
400828198,9,12,2015-12-07,400828198,Minnesota Timberwolves,12,106,8,Los Angeles Clippers,110
400827904,0,1,2015-10-28,400827904,Los Angeles Lakers,1,111,0,Minnesota Timberwolves,112
400827918,2,0,2015-10-30,400827918,Sacramento Kings,1,132,1,Los Angeles Lakers,114
400827932,1,2,2015-11-01,400827932,Los Angeles Lakers,3,93,0,Dallas Mavericks,103
400827946,2,2,2015-11-03,400827946,Los Angeles Lakers,4,109,0,Denver Nuggets,120
400827995,6,1,2015-11-10,400827995,Miami Heat,3,101,5,Los Angeles Lakers,88
400828001,7,1,2015-11-11,400828001,Orlando Magic,5,101,4,Los Angeles Lakers,99
400828022,8,1,2015-11-13,400828022,Dallas Mavericks,4,90,5,Los Angeles Lakers,82
400828038,5,5,2015-11-15,400828038,Los Angeles Lakers,8,97,2,Detroit Pistons,85
400828044,9,2,2015-11-16,400828044,Phoenix Suns,4,120,6,Los Angeles Lakers,101
400828088,9,6,2015-11-22,400828088,Los Angeles Lakers,11,93,2,Portland Trail Blazers,107
400828131,13,2,2015-11-28,400828131,Portland Trail Blazers,10,108,7,Los Angeles Lakers,96
400828140,5,11,2015-11-29,400828140,Los Angeles Lakers,14,103,2,Indiana Pacers,107
400828156,15,3,2015-12-02,400828156,Washington Wizards,9,104,7,Los Angeles Lakers,108
400828173,16,3,2015-12-04,400828173,Atlanta Hawks,9,100,13,Los Angeles Lakers,87
400828188,17,3,2015-12-06,400828188,Detroit Pistons,9,111,12,Los Angeles Lakers,91
400827901,0,1,2015-10-28,400827901,Phoenix Suns,1,95,0,Dallas Mavericks,111
400827919,1,1,2015-10-30,400827919,Phoenix Suns,1,110,1,Portland Trail Blazers,92
400827924,1,2,2015-10-31,400827924,Portland Trail Blazers,2,90,1,Phoenix Suns,101
400827954,4,1,2015-11-04,400827954,Phoenix Suns,2,118,3,Sacramento Kings,97
400827969,1,4,2015-11-06,400827969,Phoenix Suns,3,92,3,Detroit Pistons,100
400827984,4,3,2015-11-08,400827984,Oklahoma City Thunder,3,124,4,Phoenix Suns,103
