id,away_team_losses,away_team_wins,date,game_id,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score
400828030,5,5,2015-11-14,400828030,Phoenix Suns,4,105,5,Denver Nuggets,81
400828061,3,8,2015-11-18,400828061,Phoenix Suns,5,97,6,Chicago Bulls,103
400828072,5,7,2015-11-20,400828072,Denver Nuggets,7,107,6,Phoenix Suns,114
400828085,6,7,2015-11-22,400828085,New Orleans Pelicans,11,122,3,Phoenix Suns,116
400828094,7,7,2015-11-23,400828094,San Antonio Spurs,3,98,11,Phoenix Suns,84
400828112,11,4,2015-11-25,400828112,Phoenix Suns,8,114,7,New Orleans Pelicans,120
400828157,11,8,2015-12-02,400828157,Detroit Pistons,9,127,10,Phoenix Suns,122
400828171,12,8,2015-12-04,400828171,Washington Wizards,9,109,8,Phoenix Suns,106
400828186,13,8,2015-12-06,400828186,Memphis Grizzlies,9,95,12,Phoenix Suns,93
400828196,13,9,2015-12-07,400828196,Chicago Bulls,7,101,11,Phoenix Suns,103
400827945,2,3,2015-11-03,400827945,Sacramento Kings,3,89,1,Memphis Grizzlies,103
400827971,3,3,2015-11-06,400827971,Sacramento Kings,5,110,1,Houston Rockets,116
400827990,2,5,2015-11-09,400827990,Sacramento Kings,7,88,1,San Antonio Spurs,106
400828009,3,5,2015-11-11,400828009,Sacramento Kings,7,101,2,Detroit Pistons,92
400828056,8,4,2015-11-18,400828056,Atlanta Hawks,5,103,9,Sacramento Kings,97
400828062,9,4,2015-11-19,400828062,Miami Heat,4,116,7,Sacramento Kings,109
400828076,9,5,2015-11-21,400828076,Orlando Magic,7,91,6,Sacramento Kings,97
400828089,10,5,2015-11-23,400828089,Charlotte Hornets,6,127,8,Sacramento Kings,122
400828108,10,6,2015-11-25,400828108,Milwaukee Bucks,9,118,6,Sacramento Kings,129
400828124,8,8,2015-11-27,400828124,Sacramento Kings,11,91,6,Minnesota Timberwolves,101
400828147,8,10,2015-11-30,400828147,Sacramento Kings,12,112,7,Dallas Mavericks,98
400828180,14,7,2015-12-05,400828180,Houston Rockets,11,120,10,Sacramento Kings,113
400828190,15,7,2015-12-06,400828190,Oklahoma City Thunder,8,98,12,Sacramento Kings,95
400828205,10,9,2015-12-08,400828205,Sacramento Kings,15,114,8,Utah Jazz,106
400827889,1,0,2015-10-27,400827889,Chicago Bulls,0,97,1,Cleveland Cavaliers,95
400827912,1,2,2015-10-30,400827912,Detroit Pistons,0,98,3,Chicago Bulls,94
400827930,3,0,2015-11-01,400827930,Chicago Bulls,1,92,3,Orlando Magic,87
400827940,2,3,2015-11-03,400827940,Charlotte Hornets,3,130,1,Chicago Bulls,105
400827957,3,3,2015-11-05,400827957,Chicago Bulls,2,104,4,Oklahoma City Thunder,98
400827972,2,3,2015-11-07,400827972,Chicago Bulls,3,93,4,Minnesota Timberwolves,102
400828019,5,4,2015-11-13,400828019,Chicago Bulls,3,102,6,Charlotte Hornets,97
400828040,5,6,2015-11-16,400828040,Chicago Bulls,3,96,7,Indiana Pacers,95
400828100,4,9,2015-11-24,400828100,Portland Trail Blazers,10,88,6,Chicago Bulls,93
400828118,5,9,2015-11-27,400828118,Indiana Pacers,5,104,10,Chicago Bulls,92
400828144,4,14,2015-11-30,400828144,Chicago Bulls,5,92,10,San Antonio Spurs,89
400828160,13,6,2015-12-02,400828160,Chicago Bulls,5,99,11,Denver Nuggets,90
400828179,8,11,2015-12-05,400828179,Chicago Bulls,6,96,11,Charlotte Hornets,102
400827898,1,1,2015-10-28,400827898,Memphis Grizzlies,1,76,0,Cleveland Cavaliers,106
400827908,1,1,2015-10-30,400827908,Cleveland Cavaliers,1,102,2,Miami Heat,92
400827981,4,3,2015-11-08,400827981,Cleveland Cavaliers,1,101,6,Indiana Pacers,97
400827993,3,4,2015-11-10,400827993,Cleveland Cavaliers,1,118,7,Utah Jazz,114
400828028,2,8,2015-11-14,400828028,Milwaukee Bucks,5,108,5,Cleveland Cavaliers,105
400828047,3,8,2015-11-17,400828047,Detroit Pistons,5,104,6,Cleveland Cavaliers,99
400828063,7,5,2015-11-19,400828063,Cleveland Cavaliers,3,115,9,Milwaukee Bucks,100
400828078,6,9,2015-11-21,400828078,Cleveland Cavaliers,3,109,10,Atlanta Hawks,97
400828090,8,6,2015-11-23,400828090,Cleveland Cavaliers,3,117,11,Orlando Magic,103
400828114,4,12,2015-11-27,400828114,Charlotte Hornets,7,90,9,Cleveland Cavaliers,95
400828149,8,7,2015-12-01,400828149,Cleveland Cavaliers,5,85,13,Washington Wizards,97
400828175,6,13,2015-12-04,400828175,New Orleans Pelicans,15,114,5,Cleveland Cavaliers,108
400828178,7,13,2015-12-05,400828178,Miami Heat,6,99,12,Cleveland Cavaliers,84
400828200,14,9,2015-12-08,400828200,Cleveland Cavaliers,7,105,14,Portland Trail Blazers,100
400827888,0,1,2015-10-27,400827888,Atlanta Hawks,1,94,0,Detroit Pistons,106
400827894,1,0,2015-10-28,400827894,Detroit Pistons,0,92,2,Utah Jazz,87
400827941,3,1,2015-11-03,400827941,Detroit Pistons,1,82,3,Indiana Pacers,94
400827985,1,5,2015-11-08,400827985,Portland Trail Blazers,3,103,4,Detroit Pistons,120
400828068,5,7,2015-11-20,400828068,Minnesota Timberwolves,8,86,5,Detroit Pistons,96
400828079,4,6,2015-11-21,400828079,Detroit Pistons,6,95,7,Washington Wizards,97
400828092,7,7,2015-11-23,400828092,Milwaukee Bucks,8,109,6,Detroit Pistons,88
400828105,5,9,2015-11-25,400828105,Detroit Pistons,7,104,8,Miami Heat,81
400828121,8,8,2015-11-27,400828121,Oklahoma City Thunder,6,103,11,Detroit Pistons,87
400828141,11,7,2015-11-30,400828141,Detroit Pistons,9,116,9,Houston Rockets,105
400828172,13,7,2015-12-04,400828172,Detroit Pistons,9,102,11,Milwaukee Bucks,95
400828191,10,12,2015-12-07,400828191,Charlotte Hornets,8,104,12,Detroit Pistons,84
400827905,1,1,2015-10-29,400827905,Indiana Pacers,2,103,0,Memphis Grizzlies,112
400827920,1,2,2015-10-31,400827920,Indiana Pacers,3,76,0,Utah Jazz,97
400827967,3,3,2015-11-06,400827967,Indiana Pacers,3,90,3,Miami Heat,87
400827986,5,3,2015-11-09,400827986,Indiana Pacers,4,97,4,Orlando Magic,84
400828014,5,4,2015-11-13,400828014,Indiana Pacers,4,107,6,Minnesota Timberwolves,103
400828077,8,5,2015-11-21,400828077,Indiana Pacers,5,123,8,Milwaukee Bucks,86
400828096,5,9,2015-11-24,400828096,Washington Wizards,5,106,6,Indiana Pacers,123
400828168,6,12,2015-12-03,400828168,Portland Trail Blazers,12,123,8,Indiana Pacers,111
400828184,7,12,2015-12-05,400828184,Utah Jazz,9,122,9,Indiana Pacers,119
400827914,0,2,2015-10-30,400827914,Milwaukee Bucks,2,113,0,Washington Wizards,118
400828008,5,4,2015-11-11,400828008,Denver Nuggets,4,103,4,Milwaukee Bucks,102
400828045,6,5,2015-11-17,400828045,Washington Wizards,4,115,5,Milwaukee Bucks,86
400828115,10,6,2015-11-27,400828115,Orlando Magic,8,114,8,Milwaukee Bucks,90
400828133,11,6,2015-11-29,400828133,Charlotte Hornets,7,87,10,Milwaukee Bucks,82
400828145,12,6,2015-11-30,400828145,Milwaukee Bucks,11,92,7,Denver Nuggets,74
400828162,12,7,2015-12-02,400828162,San Antonio Spurs,4,95,15,Milwaukee Bucks,70
400828197,13,9,2015-12-07,400828197,Milwaukee Bucks,13,90,9,Portland Trail Blazers,88
400827959,3,2,2015-11-05,400827959,Dallas Mavericks,3,94,2,Charlotte Hornets,108
400827975,6,0,2015-11-07,400827975,Dallas Mavericks,3,107,3,New Orleans Pelicans,98
400827999,4,3,2015-11-10,400827999,New Orleans Pelicans,6,120,1,Dallas Mavericks,105
400828027,4,6,2015-11-14,400828027,Houston Rockets,6,98,4,Dallas Mavericks,110
400828071,6,6,2015-11-20,400828071,Dallas Mavericks,4,102,9,Utah Jazz,93
400828086,5,9,2015-11-22,400828086,Oklahoma City Thunder,6,117,8,Dallas Mavericks,114
400828098,6,9,2015-11-24,400828098,Memphis Grizzlies,7,110,8,Dallas Mavericks,96
400828111,7,9,2015-11-25,400828111,San Antonio Spurs,3,88,12,Dallas Mavericks,83
400828128,11,6,2015-11-28,400828128,Dallas Mavericks,7,92,10,Denver Nuggets,81
400828154,8,11,2015-12-01,400828154,Portland Trail Blazers,12,112,7,Dallas Mavericks,115
400828174,11,9,2015-12-04,400828174,Dallas Mavericks,9,96,11,Houston Rockets,100
400828189,9,12,2015-12-06,400828189,Washington Wizards,10,104,8,Dallas Mavericks,116
400827897,0,1,2015-10-28,400827897,Houston Rockets,1,85,0,Denver Nuggets,105
400827928,3,0,2015-11-01,400827928,Miami Heat,1,109,2,Houston Rockets,89
400827936,1,3,2015-11-02,400827936,Houston Rockets,3,110,1,Oklahoma City Thunder,105
400827951,4,1,2015-11-04,400827951,Houston Rockets,3,119,2,Orlando Magic,114
400828023,5,4,2015-11-13,400828023,Denver Nuggets,4,107,5,Houston Rockets,98
400828057,9,4,2015-11-18,400828057,Houston Rockets,7,108,5,Portland Trail Blazers,103
400828067,8,5,2015-11-20,400828067,Memphis Grizzlies,6,96,7,Houston Rockets,84
400828107,7,9,2015-11-25,400828107,Houston Rockets,10,93,5,Memphis Grizzlies,102
400828161,15,4,2015-12-02,400828161,Houston Rockets,11,108,8,New Orleans Pelicans,101
400827961,3,3,2015-11-05,400827961,Portland Trail Blazers,2,115,4,Memphis Grizzlies,96
400827978,4,3,2015-11-07,400827978,Utah Jazz,2,89,4,Memphis Grizzlies,79
400828020,6,4,2015-11-13,400828020,Memphis Grizzlies,6,101,4,Portland Trail Blazers,100
400828033,6,5,2015-11-15,400828033,Minnesota Timberwolves,6,106,4,Memphis Grizzlies,114
400828042,5,6,2015-11-16,400828042,Memphis Grizzlies,6,122,6,Oklahoma City Thunder,114
400828082,7,7,2015-11-21,400828082,San Antonio Spurs,3,92,10,Memphis Grizzlies,82
400828120,7,11,2015-11-27,400828120,Memphis Grizzlies,8,101,9,Atlanta Hawks,116
400828153,8,11,2015-12-01,400828153,New Orleans Pelicans,14,104,4,Memphis Grizzlies,113
400828167,4,16,2015-12-03,400828167,Memphis Grizzlies,9,83,11,San Antonio Spurs,103
400828203,8,13,2015-12-08,400828203,Memphis Grizzlies,10,88,12,Oklahoma City Thunder,125
400827902,2,0,2015-10-28,400827902,Portland Trail Blazers,0,112,1,New Orleans Pelicans,94
400827943,3,1,2015-11-03,400827943,New Orleans Pelicans,4,94,0,Orlando Magic,103
400827968,1,6,2015-11-06,400827968,New Orleans Pelicans,5,115,0,Atlanta Hawks,121
400828004,7,1,2015-11-11,400828004,Atlanta Hawks,2,106,8,New Orleans Pelicans,98
400828050,5,6,2015-11-17,400828050,New Orleans Pelicans,10,98,1,Denver Nuggets,115
400828058,11,1,2015-11-18,400828058,Oklahoma City Thunder,5,110,7,New Orleans Pelicans,103
400828069,3,9,2015-11-20,400828069,New Orleans Pelicans,11,104,2,San Antonio Spurs,90
400828130,13,4,2015-11-28,400828130,Utah Jazz,7,101,8,New Orleans Pelicans,87
400827900,1,0,2015-10-28,400827900,Oklahoma City Thunder,0,112,1,San Antonio Spurs,106
400827948,2,3,2015-11-04,400827948,Washington Wizards,1,102,3,San Antonio Spurs,99
400827977,4,2,2015-11-07,400827977,San Antonio Spurs,2,114,4,Charlotte Hornets,94
400828010,2,6,2015-11-11,400828010,Portland Trail Blazers,5,101,4,San Antonio Spurs,113
400828043,8,4,2015-11-16,400828043,San Antonio Spurs,2,93,8,Portland Trail Blazers,80
400828059,6,6,2015-11-18,400828059,San Antonio Spurs,2,109,9,Denver Nuggets,98
400828122,3,13,2015-11-27,400828122,Denver Nuggets,10,80,6,San Antonio Spurs,91
400828129,8,11,2015-11-28,400828129,San Antonio Spurs,3,108,14,Atlanta Hawks,88
400827913,2,0,2015-10-30,400827913,Atlanta Hawks,1,97,2,Charlotte Hornets,94
400827926,1,3,2015-11-01,400827926,Charlotte Hornets,3,92,0,Atlanta Hawks,94
400827942,1,4,2015-11-03,400827942,Miami Heat,2,92,2,Atlanta Hawks,98
400827973,3,3,2015-11-07,400827973,Atlanta Hawks,1,114,7,Washington Wizards,99
400827988,2,4,2015-11-09,400827988,Atlanta Hawks,2,107,7,Minnesota Timberwolves,117
400828035,5,5,2015-11-15,400828035,Atlanta Hawks,4,96,8,Utah Jazz,97
400828109,7,10,2015-11-25,400828109,Minnesota Timberwolves,8,99,7,Atlanta Hawks,95
400828143,7,11,2015-11-30,400828143,Atlanta Hawks,8,106,12,Oklahoma City Thunder,100
400827895,1,0,2015-10-28,400827895,Miami Heat,0,104,1,Charlotte Hornets,94
400827998,4,3,2015-11-10,400827998,Minnesota Timberwolves,3,95,4,Charlotte Hornets,104
400828034,7,4,2015-11-15,400828034,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
400828102,6,6,2015-11-25,400828102,Charlotte Hornets,6,101,9,Washington Wizards,87
400827958,2,3,2015-11-05,400827958,Minnesota Timberwolves,2,84,2,Miami Heat,96
400828011,4,4,2015-11-12,400828011,Miami Heat,3,92,6,Utah Jazz,91
400828048,6,5,2015-11-17,400828048,Miami Heat,4,91,6,Minnesota Timberwolves,103
400828164,8,11,2015-12-03,400828164,Miami Heat,6,97,11,Oklahoma City Thunder,95
400828193,10,9,2015-12-07,400828193,Miami Heat,7,103,12,Washington Wizards,114
400827891,0,1,2015-10-28,400827891,Orlando Magic,1,87,0,Washington Wizards,88
400827909,0,2,2015-10-30,400827909,Orlando Magic,2,136,0,Oklahoma City Thunder,139
400828015,5,4,2015-11-13,400828015,Orlando Magic,5,102,5,Utah Jazz,93
400828026,6,5,2015-11-14,400828026,Washington Wizards,4,108,4,Orlando Magic,99
400828053,7,5,2015-11-18,400828053,Orlando Magic,6,104,6,Minnesota Timberwolves,101
400828152,8,10,2015-12-01,400828152,Minnesota Timberwolves,10,93,8,Orlando Magic,96
400828166,8,11,2015-12-03,400828166,Utah Jazz,9,94,8,Orlando Magic,103
400828204,9,12,2015-12-08,400828204,Denver Nuggets,14,74,8,Orlando Magic,85
400827994,3,5,2015-11-10,400827994,Washington Wizards,4,101,3,Oklahoma City Thunder,125
400827916,0,2,2015-10-30,400827916,Denver Nuggets,1,78,1,Minnesota Timberwolves,95
400827931,2,1,2015-11-01,400827931,Oklahoma City Thunder,0,117,3,Denver Nuggets,93
400827960,2,3,2015-11-05,400827960,Denver Nuggets,3,84,2,Utah Jazz,96
400827989,4,4,2015-11-09,400827989,Denver Nuggets,4,108,3,Portland Trail Blazers,104
400827937,2,2,2015-11-02,400827937,Minnesota Timberwolves,1,101,2,Portland Trail Blazers,106
400828181,12,9,2015-12-05,400828181,Minnesota Timberwolves,11,103,8,Portland Trail Blazers,109
400828095,6,9,2015-11-23,400828095,Utah Jazz,7,89,6,Oklahoma City Thunder,111
400827955,2,3,2015-11-04,400827955,Utah Jazz,2,92,2,Portland Trail Blazers,108
