date,PG,SG,SF,PF,C,G,F,UTIL,projected points,
11.11.2015,Damian Lillard,James Harden,Rudy Gay,David Lee,Marc Gasol,Kobe Bryant,Ersan Ilyasova ,Andrea Bargnani,289.91,
11.12.2015,Chris Paul,Andrew Wiggins,P.J. Tucker,Chris Bosh,DeAndre Jordan,Goran Dragic,Markieff Morris,Tyson Chandler,260.6,
11.13.2015,Damian Lillard,James Harden,Chandler Parsons,Ed Davis,Marc Gasol,Kobe Bryant,David Lee,Al Jefferson,292.16,
11.16.2015,Damian Lillard,James Harden,P.J. Tucker,Pau Gasol,Marc Gasol,Monta Ellis,Ed Davis,Alex Len,283.74,
11.17.2015,Michael Carter-Williams,Dwyane Wade,LeBron James,Kevin Love,Al Horford,Goran Dragic,Ersan Ilyasova,Andrea Bargnani,278.85,
11.18.2015,Damian Lillard,James Harden,Rudy Gay,Ed Davis,Al Horford,Gerald Henderson,P.J. Tucker,Al Jefferson,284.65,
11.19.2015,Chris Paul,Dwyane Wade,LeBron James,Josh Smith,Willie Cauley-Stein,Michael Carter-Williams,Rudy Gay,Goran Dragic,279.33,
11.30.2015,Michael Carter-Williams,James Harden,Rudy Gay,Terrence Jones,Pau Gasol,Jerryd Bayless,David Lee,Al Horford,289.72,
12.1.2015,Damian Lillard,Kobe Bryant,LeBron James,Nerlens Noel,Nikola Vucevic,Jarrett Jack,P.J. Tucker,Andrea Bargnani,278.25,
12.2.2015,Michael Carter-Williams,James Harden,P.J. Tucker,Nerlens Noel,Pau Gasol,Kobe Bryant,Terrence Jones,Al Horford,286.96,
12.3.2015,Russell Westbrook,Terrence Ross,Rudy Gay,Ed Davis,Marc Gasol,Damian Lillard,David Lee,Goran Dragic,279.97,
12.4.2015,Jeff Teague,Kobe Bryant,LeBron James,Terrence Jones,Greg Monroe,Michael Carter-Williams,P.J. Tucker,Al Horford,284.47,
12.5.2015,Damian Lillard,Monta Ellis,LeBron James,Terrence Jones,Pau Gasol,Michael Carter-Williams,David Lee,Joakim Noah,287.36,
12.6.2015,Russell Westbrook,Kobe Bryant,Chandler Parsons,Markieff Morris,Marc Gasol,Reggie Jackson,P.J. Tucker,Enes Kanter,271.11,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,